,Unnamed: 0,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,0,2020-07-12-2020-07-19,UCMtFAi84ehTSYSE9XoHefig,yrUlgF5q6Mo,Trump&#39;s Secretive Covid Data-Grab Overshadows Good News About A Promising Vaccine,2020-07-16T03:50:00Z,3677432,52223.0,2079.0,7714.0,899,The Late Show with Stephen Colbert,7800000,Unknown,https://www.youtube.com/watch?v=yrUlgF5q6Mo
1,1,2020-07-12-2020-07-19,UCMtFAi84ehTSYSE9XoHefig,MO-NFvb-qzY,"Trump&#39;s New Coronavirus Plan: Threaten America&#39;s Schools, Trash Dr. Fauci In The Press",2020-07-14T04:36:43Z,2955687,47639.0,1766.0,7779.0,964,The Late Show with Stephen Colbert,7800000,Unknown,https://www.youtube.com/watch?v=MO-NFvb-qzY
2,2,2020-07-12-2020-07-19,UCMtFAi84ehTSYSE9XoHefig,w8icJJZKAgM,GOP Lawmakers Set To Skip Trump&#39;s Convention In Jacksonville As Florida&#39;s Covid Numbers Spike,2020-07-15T04:38:28Z,2920739,42718.0,1177.0,5997.0,800,The Late Show with Stephen Colbert,7800000,Unknown,https://www.youtube.com/watch?v=w8icJJZKAgM
3,3,2020-07-12-2020-07-19,UCXIJgqnII2ZOINSWNOGFThA,7voTUuVT5i4,Hong Kong scientist claiming China &#39;covered up&#39; coronavirus data speaks out,2020-07-13T20:20:40Z,2671872,54616.0,3269.0,16682.0,343,Fox News,6060000,US,https://www.youtube.com/watch?v=7voTUuVT5i4
4,4,2020-07-12-2020-07-19,UCVTyTA7-g9nopHeHbeuvpRA,Q6AYg0oLfC8,Trump and His Allies Want You to &quot;Adapt&quot; to the Coronavirus Crisis: A Closer Look,2020-07-16T01:00:02Z,2293796,40740.0,1191.0,7465.0,898,Late Night with Seth Meyers,3850000,US,https://www.youtube.com/watch?v=Q6AYg0oLfC8
5,5,2020-07-12-2020-07-19,UCMtFAi84ehTSYSE9XoHefig,-GZmDWsUSBg,Tom Hanks And Rita Wilson Suffered Completely Different Covid-19 Symptoms,2020-07-15T08:52:09Z,2054864,19575.0,2867.0,6540.0,545,The Late Show with Stephen Colbert,7800000,Unknown,https://www.youtube.com/watch?v=-GZmDWsUSBg
6,6,2020-07-12-2020-07-19,UCupvZG-5ko_eiXAupbDfxWw,20OzjniTJQU,Cooper: Trump poses with can of beans while Covid-19 surges,2020-07-16T02:18:30Z,1992972,35446.0,5071.0,23716.0,630,CNN,10500000,Unknown,https://www.youtube.com/watch?v=20OzjniTJQU
7,7,2020-07-12-2020-07-19,UCMtFAi84ehTSYSE9XoHefig,F8DDvJkx07U,Double Hack: Bitcoin Bandits Take Over Twitter While Russia Spies On Covid Vaccine Researchers,2020-07-17T03:50:01Z,1925942,31529.0,885.0,3698.0,751,The Late Show with Stephen Colbert,7800000,Unknown,https://www.youtube.com/watch?v=F8DDvJkx07U
8,8,2020-07-12-2020-07-19,UCRWFSbif-RFENbBrSiez1DA,F4LGpKwIOL8,"Bachchan Family Fights Covid-19, Jalsa Bungalow Sealed &amp; Sanitised | Panchnama | ABP News",2020-07-12T14:56:33Z,1702730,6655.0,1557.0,294.0,462,ABP NEWS,26100000,IN,https://www.youtube.com/watch?v=F4LGpKwIOL8
9,9,2020-07-12-2020-07-19,UC0rE2qq81of4fojo-KhO5rg,i6rhnSoK_gc,COVID CASE IN OUR BUILDING - VLOG 32,2020-07-12T14:30:13Z,1812766,189533.0,2582.0,4900.0,702,Tanmay Bhat,2210000,IN,https://www.youtube.com/watch?v=i6rhnSoK_gc
10,10,2020-07-12-2020-07-19,UC4oQAvXFuNlKivYjUynQKTA,NRYEeTvmgHE,Virologa china dice saber la verdad del coronavirus: ?ocultan algo China y OMS? | Semana Noticias,2020-07-13T16:10:39Z,1795491,18585.0,2202.0,2383.0,460,Revista Semana,706000,CO,https://www.youtube.com/watch?v=NRYEeTvmgHE
11,11,2020-07-12-2020-07-19,UCW7wst81abcbD5okdVQpFUg,I6Rb90OwN_c,PARODIA - Coronga Virus (Cacadores de Lendas),2020-07-14T13:00:34Z,2035107,62308.0,1393.0,3465.0,147,CAÇADORES DE LENDAS,358000,BR,https://www.youtube.com/watch?v=I6Rb90OwN_c
12,12,2020-07-12-2020-07-19,UCIvaYmXn910QMdemBG3v1pQ,defqoaD4lWI,DNA: England meN bhaartiiy muul ke vykti kaa Coronavirus Vaccine Trial meN bdd'aa yogdaan | COVID-19,2020-07-17T18:01:35Z,1422807,30276.0,2041.0,1218.0,344,Zee News,15500000,IN,https://www.youtube.com/watch?v=defqoaD4lWI
13,13,2020-07-12-2020-07-19,UCqnbDFdCpuN8CMEg0VuEBqA,XvK6Y_txWEE,Donald Trump Isn&#39;t the Worst Covid President. Just Ask Brazilians. | NYT Opinion,2020-07-15T17:00:08Z,1343261,141117.0,160902.0,48974.0,385,The New York Times,3110000,Unknown,https://www.youtube.com/watch?v=XvK6Y_txWEE
14,14,2020-07-12-2020-07-19,UCPXTXMecYqnRKNdqdVOGSFg,bcyZO44Gv7E,Russia first nation to successfully complete human trials of coronavirus COVID 19 vaccine - TV9,2020-07-12T17:06:54Z,1325234,N/A,N/A,958.0,133,TV9 Telugu Live,6400000,IN,https://www.youtube.com/watch?v=bcyZO44Gv7E
15,15,2020-07-12-2020-07-19,UCB0BUmdBOrH9mYU2ebs1eWA,m2jELoxsZuU,?Cuales son los beneficios del dioxido de cloro en pacientes covid-19?,2020-07-14T21:07:01Z,1363167,40701,2673,15435.0,1194,Imagen Radio,330000,MX,https://www.youtube.com/watch?v=m2jELoxsZuU
16,16,2020-07-12-2020-07-19,UCupvZG-5ko_eiXAupbDfxWw,-n6ZN-UeRL8,Heckler shames Florida governor during Covid-19 press conference,2020-07-14T13:59:36Z,1227769,14236,1878,10064.0,653,CNN,10500000,Unknown,https://www.youtube.com/watch?v=-n6ZN-UeRL8
17,17,2020-07-12-2020-07-19,UCt4t-jeY85JegMlZ-E5UWtA,XZyt4orGly4,Vardaat: Wuhan meN baarh ke piiche ddraign kaa dimaag ? kyaa duniyaa se Corona kaa sc chupaanaa caahtaa hai China ?,2020-07-18T02:35:27Z,1238507,9155,1557,401.0,765,Aaj Tak,41100000,IN,https://www.youtube.com/watch?v=XZyt4orGly4
18,18,2020-07-12-2020-07-19,UCSaf-7p3J_N-02p7jHzm5tA,TLFtyX2xHGI,'Who Will Give Us Jobs?': Delhi's Sex Workers Hit Hard By COVID-19 | The Quint,2020-07-14T11:00:08Z,1182972,19416,788,2289.0,459,The Quint,2610000,IN,https://www.youtube.com/watch?v=TLFtyX2xHGI
19,19,2020-07-12-2020-07-19,UCPXTXMecYqnRKNdqdVOGSFg,KJ9Y9C0F1s8,Russia 1st nation to finish human trials for Covid 19 vaccine - TV9,2020-07-13T14:38:32Z,1133152,30209,2198,5312.0,109,TV9 Telugu Live,6400000,IN,https://www.youtube.com/watch?v=KJ9Y9C0F1s8
20,20,2020-07-12-2020-07-19,UCMSsLqxqvZsNXi0Z-VjN89A,xJ4Epf8i1uk,The TRUTH of How Coronavirus Spreads and How to Prevent Coronavirus | Airborne Transmission,2020-07-16T13:45:00Z,1116222,N/A,N/A,1917.0,1099,Doctor Mike Hansen,385000,US,https://www.youtube.com/watch?v=xJ4Epf8i1uk
21,21,2020-07-12-2020-07-19,UCWT5TPXl6Qf7sAOoYl5GFHQ,QS57n5q10E4,"Travel During Covid, DELHI To DUBAI My Complete Journey with Emirates Airlines- Mamta Sachdeva",2020-07-14T05:46:05Z,1174990,6473,338,N/A,1494,TravelwithMamta,944000,IN,https://www.youtube.com/watch?v=QS57n5q10E4
22,22,2020-07-12-2020-07-19,UCabsTV34JwALXKGMqHpvUiA,eBT8ewsdQpQ,Dai dich COVID-19 khien nhieu nguoi chet doi hon chet dich | VTV24,2020-07-13T10:00:12Z,1024235,11478,636,1019,100,VTV24,2860000,VN,https://www.youtube.com/watch?v=eBT8ewsdQpQ
23,23,2020-07-12-2020-07-19,UC4oQAvXFuNlKivYjUynQKTA,Sjb9D4eq3m0,Descubren punto debil del coronavirus | Videos Semana,2020-07-15T21:00:58Z,996271,15,8,1,264,Revista Semana,706000,CO,https://www.youtube.com/watch?v=Sjb9D4eq3m0
24,24,2020-07-12-2020-07-19,UCgDVdzX6Sg9_U9bS056xTqg,lPAsGbFu4Us,?Como diferenciar los sintomas de Gripe vs Covid-19?,2020-07-17T14:14:39Z,1055026,39796,2429,6798,39,Ayudín Argentina,50500,Unknown,https://www.youtube.com/watch?v=lPAsGbFu4Us
25,25,2020-07-12-2020-07-19,UCew_WONZCxLqNdTpZ6gXUeA,3yxWohFv9yw,Claves del exito de Cuba contra el coronavirus (no lo veras en otros medios),2020-07-14T16:18:46Z,1238508,10292,575,N/A,330,Ahí les Va,399000,MX,https://www.youtube.com/watch?v=3yxWohFv9yw
26,26,2020-07-12-2020-07-19,UCvthuVsurPaVz2a7_4LepGg,5a7fUt1nvek,My Worst Nightmare Came True...Covid-19,2020-07-18T16:00:04Z,1085682,23481,792,676,622,Family Fun Pack,9360000,US,https://www.youtube.com/watch?v=5a7fUt1nvek
27,27,2020-07-12-2020-07-19,UC5qD0HCUuo095Vu-p_OOhrg,3alpo8Lw4GI,Combate el Coronavirus / Jarabe para Reforzar el Sistema Inmunologico - aliviar Tos y Gripe,2020-07-14T13:08:13Z,1308033,13106,195,1246,310,De mi corazon a tu cocina,0,US,https://www.youtube.com/watch?v=3alpo8Lw4GI
