,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2020-05-03-2020-05-10,UC3XTzVzaHQEd30rQbuvCtTQ,7rl4c-jr7g0,Coronavirus VI: Testing: Last Week Tonight with John Oliver (HBO),2020-05-04T06:45:00Z,7992584,162864,5705,22434,1394,LastWeekTonight,8340000,Unknown,https://www.youtube.com/watch?v=7rl4c-jr7g0
1,2020-05-03-2020-05-10,UCVTyTA7-g9nopHeHbeuvpRA,HMCQwgHMXHw,Trump's Fox News Coronavirus Town Hall: A Closer Look,2020-05-05T03:30:04Z,2472042,39333,1390,6797,790,Late Night with Seth Meyers,3850000,US,https://www.youtube.com/watch?v=HMCQwgHMXHw
2,2020-05-03-2020-05-10,UCMSsLqxqvZsNXi0Z-VjN89A,KzKvIYwqQkE,What Doctors Are Learning From Autopsy Findings of New Coronavirus Patients | COVID-19,2020-05-06T16:15:00Z,2466333,48364,3445,11386,784,Doctor Mike Hansen,385000,US,https://www.youtube.com/watch?v=KzKvIYwqQkE
3,2020-05-03-2020-05-10,UCeY0bbntWzzVIaj2z3QigXg,52AgZpuDncY,Obama Criticizes Trump Administration&#39;s Coronavirus Response As Chaotic Disaster | NBC Nightly News,2020-05-09T23:31:33Z,2320390,20376,16409,22434,135,NBC News,3810000,Unknown,https://www.youtube.com/watch?v=52AgZpuDncY
4,2020-05-03-2020-05-10,UCiamy6DLsjIeCgfz8TLXg9Q,P8yzICVWzYI,DAY IN THE LIFE OF A DOCTOR: CORONAVIRUS PANDEMIC NIGHT SHIFT,2020-05-09T16:00:25Z,1319961,36973,576,3462,720,Violin MD,715000,CA,https://www.youtube.com/watch?v=P8yzICVWzYI
5,2020-05-03-2020-05-10,UCE7GmAYeBVgqDItdX2ihuHQ,k4ue32JdVsk,My Tiny House &quot;DAY IN THE LIFE&quot; During Coronavirus Lockdown,2020-05-08T21:33:47Z,1240952,32592,610,1428,850,Tiny House Giant Journey,762000,US,https://www.youtube.com/watch?v=k4ue32JdVsk
6,2020-05-03-2020-05-10,UC9RM-iSvTu1uPJb8X5yp3EQ,r2oPk20OHBE,Air Cargo&#39;s Coronavirus Problem,2020-05-05T16:56:29Z,1118293,31162,697,1491,773,Wendover Productions,2690000,GB,https://www.youtube.com/watch?v=r2oPk20OHBE
7,2020-05-03-2020-05-10,UC4oQAvXFuNlKivYjUynQKTA,iLPYjHyjQek,Medico suministro dioxido de cloro a pacientes con covid-19 en Bogota | Video semana,2020-05-05T22:00:39Z,1017309,7169,1311,4684,195,Revista Semana,706000,CO,https://www.youtube.com/watch?v=iLPYjHyjQek
8,2020-05-03-2020-05-10,UC85VW73bQLEjs_taFKP7TwQ,DhtO5kzY5js,What Happens If You Get a Severe Case of COVID-19?,2020-05-05T19:37:40Z,828040,12285,579,1268,603,Nucleus Medical Media,2730000,US,https://www.youtube.com/watch?v=DhtO5kzY5js
9,2020-05-03-2020-05-10,UCK0z0_5uL7mb9IjntOKi5XQ,8_AKe07J7tE,A Waking Nightmare for COVID-19 Patients,2020-05-08T10:45:00Z,786303,21555,756,5078,587,The Atlantic,528000,US,https://www.youtube.com/watch?v=8_AKe07J7tE
10,2020-05-03-2020-05-10,UCn8zNIfYAQNdrFRrr8oibKw,KmiOt94WIVU,"The QAnon Conspiracy Theory, Donald Trump and Covid-19",2020-05-07T19:00:09Z,638087,9110,7439,6491,775,VICE,13200000,US,https://www.youtube.com/watch?v=KmiOt94WIVU
11,2020-05-03-2020-05-10,UCBi2mrWuNuyYy4gbM6fU18Q,SDIKexhUr3U,Tracking the coronavirus origins | ABC NEWS PRIME,2020-05-06T04:04:00Z,604254,2191,1220,1680,266,ABC News,9670000,US,https://www.youtube.com/watch?v=SDIKexhUr3U
12,2020-05-03-2020-05-10,UC0p5jTq6Xx_DosDFxVXnWaQ,XsArdIXgRTU,Covid-19: how it will change the world | The Economist,2020-05-08T15:00:18Z,598390,7043,477,814,778,The Economist,1580000,GB,https://www.youtube.com/watch?v=XsArdIXgRTU
13,2020-05-03-2020-05-10,UCdtXPiqI2cLorKaPrfpKc4g,1Xo-Hn7adx4,The Flash: Grant Gustin Explains How COVID-19 Shortened Season 6 &amp; What&#39;s Next for WestAllen!,2020-05-05T18:00:51Z,451973,11790,75,1502,751,Entertainment Tonight,3400000,US,https://www.youtube.com/watch?v=1Xo-Hn7adx4
14,2020-05-03-2020-05-10,UCNye-wNBqNL5ZzHSJj3l8Bg,SPWiUJzyYno,Is China facing a global backlash against coronavirus? | Inside Story,2020-05-05T17:30:07Z,330846,3401,564,2738,1560,Al Jazeera English,5710000,QA,https://www.youtube.com/watch?v=SPWiUJzyYno
15,2020-05-03-2020-05-10,UCqnbDFdCpuN8CMEg0VuEBqA,lJ9EbZjcVGY,Dying of Coronavirus: A Family&#39;s Painful Goodbye | NYT News,2020-05-04T20:00:10Z,305751,4346,346,833,410,The New York Times,3110000,Unknown,https://www.youtube.com/watch?v=lJ9EbZjcVGY
16,2020-05-03-2020-05-10,UCiMg06DjcUk5FRiM3g5sqoQ,9pVy8sRC440,How COVID-19 Can Spread in a Community,2020-05-06T17:34:11Z,300137,1821,139,2,157,Centers for Disease Control and Prevention (CDC),476000,US,https://www.youtube.com/watch?v=9pVy8sRC440
17,2020-05-03-2020-05-10,UCwI-JbGNsojunnHbFAc0M4Q,t01okxUB8cs,Coronavirus : l&#39;espoir en marche | ARTE Reportage,2020-05-05T19:15:02Z,272994,3043,258,429,740,ARTE,1410000,FR,https://www.youtube.com/watch?v=t01okxUB8cs
18,2020-05-03-2020-05-10,UCxCfoSInadl-4i3F70zDt1A,R8KFjSbbmsg,Coronavirus in Kids: NYC Hospital Sees Spike in Rare Kawasaki Syndrome Amid Pandemic | NBC New York,2020-05-04T22:56:09Z,237467,1062,401,909,183,NBC New York,196000,US,https://www.youtube.com/watch?v=R8KFjSbbmsg
19,2020-05-03-2020-05-10,UC9hJ1TnKKfm2InMr0qOh-HQ,-vqrMLJ6fWY,?El virus de la COVID-19 puede volver a infectar a la misma persona? | PortalCLINIC,2020-05-06T11:43:07Z,236039,N/A,N/A,0,56,Hospital Clínic de Barcelona,0,ES,https://www.youtube.com/watch?v=-vqrMLJ6fWY
20,2020-05-03-2020-05-10,UCpasZs-GSrQtOJW7WuAlq9Q,EGVPSdp4iLs,COVID-19 animation: Coronavirus and antibody testing explained,2020-05-05T16:16:19Z,210625,973,78,N/A,118,The Jackson Laboratory,9840,US,https://www.youtube.com/watch?v=EGVPSdp4iLs
21,2020-05-03-2020-05-10,UCRwA1NUcUnwsly35ikGhp0A,CfEsScuF_0U,Nino sufre misterioso sindrome ligado al COVID-19 | Noticias Telemundo,2020-05-05T23:36:09Z,193995,669,73,54,108,Noticias Telemundo,3460000,US,https://www.youtube.com/watch?v=CfEsScuF_0U
22,2020-05-03-2020-05-10,UC16niRr50-MSBwiO3YDb3RA,0FB23XsIoZc,Coronavirus: How long does it take to recover? - BBC News,2020-05-06T11:04:10Z,189321,1982,147,621,154,BBC News,8240000,GB,https://www.youtube.com/watch?v=0FB23XsIoZc
23,2020-05-03-2020-05-10,UC07-dOwgza1IguKA86jqxNA,qHksVwOrpbE,How has WHO responded to COVID-19,2020-05-04T18:22:01Z,137606,986,963,651,326,World Health Organization (WHO),612000,Unknown,https://www.youtube.com/watch?v=qHksVwOrpbE
24,2020-05-03-2020-05-10,UCqnbDFdCpuN8CMEg0VuEBqA,bYTG7K3YlZ0,How Does Coronavirus Antibody Testing Work? | NYT News,2020-05-08T17:00:30Z,78203,1257,86,181,368,The New York Times,3110000,Unknown,https://www.youtube.com/watch?v=bYTG7K3YlZ0
25,2020-05-03-2020-05-10,UCMB4LoLYZxtUOeSfuhFjwdA,y7KfurxhFS0,Los Rojos - Bailala Con El Coronavirus (Lyric Video),2020-05-04T04:00:19Z,64579,1679,39,55,69,LosRojosVEVO,12800,Unknown,https://www.youtube.com/watch?v=y7KfurxhFS0
26,2020-05-03-2020-05-10,UCiMg06DjcUk5FRiM3g5sqoQ,qb7shu_sdQ0,COVID-19: Are You at Higher Risk for Severe Illness?,2020-05-05T20:32:03Z,54508,233,63,0,141,Centers for Disease Control and Prevention (CDC),476000,US,https://www.youtube.com/watch?v=qb7shu_sdQ0
27,2020-05-03-2020-05-10,UCtF-BNrOkAvLelXDuVUz21A,9QMEpRRQ1NY,srbeaacc strktaar preo kreaanaay' aakraant | Coronavirus | COVID-19 Survivors Story | Nishok,2020-05-09T20:51:23Z,13155,81,3,21,521,Backpacker Nishok,1800,IN,https://www.youtube.com/watch?v=9QMEpRRQ1NY
28,2020-05-03-2020-05-10,UC3mwporoF_VbUJnbKzdjAsw,Xbco2aQq2kk,TIDAK MUDIK - SHORT MOVIE COVID-19,2020-05-04T11:50:52Z,8104,431,0,0,373,Riyan Nanda 2012,1990,ID,https://www.youtube.com/watch?v=Xbco2aQq2kk
29,2020-05-03-2020-05-10,UCbMdO_Tjd0rMj9Vzt8E07Eg,ZzOhJYiNv7c,Garfielf gets COVID-19,2020-05-04T20:32:47Z,4711,164,3,19,123,João Pedro Nero Pereira,1970,Unknown,https://www.youtube.com/watch?v=ZzOhJYiNv7c
